date,temperature,temp_min,temp_max,precipitation,wind_speed,pressure
2026-01-09,25.5,22.0,31.0,0.0,9.8,1015.2
2026-01-10,25.5,22.0,31.0,0.0,9.2,1014.8
2026-01-11,25.8,22.0,31.0,0.0,9.2,1015.2
2026-01-12,27.6,23.0,33.0,0.0,10.6,1015.3
2026-01-13,28.4,25.0,33.0,0.0,6.4,1015.4
2026-01-14,27.8,25.0,32.0,0.0,7.6,1014.3
2026-01-15,25.5,22.0,30.0,0.0,7.1,1013.4
2026-01-16,25.3,21.0,30.0,0.0,7.7,1012.8
2026-01-17,25.4,22.0,30.0,0.0,10.6,1012.5
2026-01-18,24.5,22.0,27.0,0.0,9.9,1011.8
2026-01-19,24.0,21.0,28.0,0.0,11.0,1013.0
2026-01-20,24.5,21.0,29.0,0.0,9.5,1012.3
2026-01-21,26.5,23.0,32.0,0.0,8.6,1012.7
2026-01-22,26.3,23.0,30.0,0.0,8.6,1013.5
2026-01-23,25.2,23.0,28.0,0.0,10.2,1014.9
2026-01-24,24.8,21.0,29.0,0.0,9.7,1016.2
2026-01-25,25.5,22.0,31.0,0.0,7.9,1014.5
2026-01-26,26.7,23.0,31.0,0.0,9.4,1014.4
2026-01-27,25.0,23.0,27.0,0.0,13.0,1016.8
2026-01-28,25.0,22.0,30.0,0.0,8.1,1015.9
2026-01-29,25.9,22.0,31.2,0.0,3.1,1013.7
2026-01-30,25.6,21.7,30.6,0.0,2.5,1014.0
2026-01-31,25.4,22.1,29.1,0.0,2.8,1014.5
2026-02-01,25.5,22.0,30.0,0.0,2.9,1014.6
2026-02-02,25.4,21.8,30.0,0.0,2.7,1014.7
2026-02-03,25.5,20.9,31.2,0.0,2.6,1014.2
2026-02-04,26.3,21.7,32.4,0.0,2.6,1014.8
2026-02-05,26.8,22.5,32.9,0.0,2.7,1015.0
2026-02-06,26.6,22.1,32.8,0.0,2.7,1015.2
2026-02-07,26.5,22.2,32.3,0.0,2.8,1014.6
