date,temperature,temp_min,temp_max,precipitation,wind_speed,pressure
2026-01-09,10.6,6.2,17.2,0.0,2.4,1022.0
2026-01-10,11.0,6.6,17.9,0.0,3.4,1020.5
2026-01-11,10.7,6.5,17.9,0.0,6.4,1022.3
2026-01-12,10.4,5.7,18.1,0.0,3.8,1021.9
2026-01-13,10.6,5.0,19.0,0.0,2.6,1020.7
2026-01-14,10.3,5.1,18.4,0.0,4.6,1018.0
2026-01-15,10.6,5.5,18.2,0.0,4.5,1017.8
2026-01-16,12.2,6.5,20.6,0.0,3.1,1016.4
2026-01-17,13.2,7.6,21.7,0.0,1.8,1014.9
2026-01-18,13.9,8.9,21.5,0.0,2.0,1013.1
2026-01-19,15.4,10.3,23.7,0.0,1.7,1014.8
2026-01-20,15.2,9.0,24.0,0.0,2.1,1016.1
2026-01-21,15.0,9.4,23.9,0.0,2.6,1017.7
2026-01-22,15.6,8.1,24.8,0.0,4.5,1016.5
2026-01-23,15.1,12.9,17.7,0.0,7.8,1015.7
2026-01-24,12.8,9.1,17.6,0.0,6.9,1022.5
2026-01-25,12.0,8.5,18.3,0.0,6.6,1020.6
2026-01-26,12.8,6.8,21.1,0.0,2.3,1019.9
2026-01-27,14.3,9.3,19.6,0.0,5.0,1018.2
2026-01-28,14.9,12.0,18.9,0.0,4.6,1019.7
2026-01-29,13.7,10.0,19.4,0.0,5.6,1020.3
2026-01-30,13.8,10.0,19.8,0.0,4.3,1019.2
2026-01-31,14.2,8.6,21.3,0.0,2.9,1018.8
2026-02-01,15.6,11.7,20.7,0.0,4.2,1018.2
2026-02-02,16.2,13.2,21.2,0.0,5.2,1019.9
2026-02-03,15.6,11.9,21.2,0.0,4.9,1020.4
2026-02-04,15.3,10.7,22.1,0.0,4.4,1021.2
2026-02-05,15.2,10.2,22.3,0.0,5.3,1020.0
2026-02-06,15.8,10.2,23.0,0.0,4.7,1018.9
